index,latitude,longitude,Temp_pre_30,Temp_pre_15,Temp_pre_7,Wind_pre_30,Wind_pre_15,Wind_pre_7,Hum_pre_30,Hum_pre_15,Hum_pre_7,Prec_pre_30,Prec_pre_15,Prec_pre_7,remoteness,catastrophic,month_sin,month_cos,Vegetation_0,Vegetation_4,Vegetation_9,Vegetation_12,Vegetation_14,Vegetation_15,Vegetation_16,Vegetation
37254,65.5996,-147.5525,12.88567335,13.36494845,12.43444444,3.2967836260000003,3.3973404260000004,3.1448275860000003,47.69501466,52.48404255,70.29885057,26.0,26.0,26.0,0.598750330060057,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
37255,66.3361,-143.6359,14.81860465,15.4452381,17.97777778,3.474117647,3.780952381,2.8,48.42352941,46.11904762,49.44444444,0.0,0.0,0.0,0.55806283848186,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
37256,62.266000000000005,-157.5691,9.055466238,11.01217712,7.823140496000001,1.810032362,1.775373134,1.93220339,54.03721683,51.50746269,55.38983051,0.0,0.0,0.0,0.7199713673312178,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
37257,64.2661,-151.3524,13.75703125,14.41833333,15.853125,1.6736,1.4133333330000002,1.375,72.66101695,79.66666667,80.3,7.0,7.0,7.0,0.6417622525296331,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
37259,64.8661,-151.9197,13.1363029,14.28831776,14.60185185,3.41714922,3.607476636,2.980555556,50.48106904,53.29906542,59.2037037,14.8,12.0,12.0,0.646767165310093,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
37261,65.5386,-154.7043,10.14991763,11.23699552,12.81265509,2.559285714,2.393602694,2.158955224,55.67197802,56.83950617,55.58208955,0.0,0.0,0.0,0.6749215508819064,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
37262,65.7499,-143.9858,15.53263158,16.42926829,21.56666667,3.459574468,3.651219512,3.375,48.06382979,44.87804878,45.5,0.0,0.0,0.0,0.5609429064014329,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
37263,67.0864,-141.866,14.11703854,14.33858921,16.40675105,3.1006085189999997,3.232572614,2.816455696,40.02028398,41.86721992,45.32489451,0.0,0.0,0.0,0.5414825213253178,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
37264,66.5663,-146.486,14.56464543,14.70705394,17.12703863,3.030729702,3.012033195,2.454506438,40.41726619,41.91078838,43.63948498,0.0,0.0,0.0,0.5876122940265442,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
37265,66.7663,-147.9527,8.352941176,10.51,15.78333333,2.929411765,4.095,2.9666666669999997,70.0,70.0,70.0,0.0,0.0,0.0,0.6025990312484515,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
37266,66.538,-143.5293,15.09580273,16.13133641,18.43979592,2.9563483739999996,2.557142857,1.840816327,41.15739769,46.26728111,42.73979592,0.0,0.0,0.0,0.5572670995181235,1,1.2246467991473532e-16,-1.0,True,False,False,False,False,False,False,0
