fire_size,fire_size_class,latitude,longitude,discovery_month,disc_pre_year,Vegetation,Temp_pre_30,Temp_pre_15,Temp_pre_7,Wind_pre_30,Wind_pre_15,Wind_pre_7,Hum_pre_30,Hum_pre_15,Hum_pre_7,Prec_pre_30,Prec_pre_15,Prec_pre_7,remoteness,fire_size_class_B
10.0,C,18.105072,-66.75304399999999,Feb,2007,12,24.48097412,24.71692308,24.9025974,4.341807043999999,3.492857143,3.262091503,78.21658986,76.79375,76.38157895,0.0,0.0,0.0,0.0179233876865947,0
3.0,B,35.03832998,-87.60999999,Dec,2006,15,7.553433476,7.01,0.343529412,2.709763948,2.881707317,1.976470588,70.84,65.85891089,55.50588235,59.8,8.4,0.0,0.1843549518587874,1
60.0,C,34.9478,-88.7225,Feb,2004,16,4.971929825,5.7827659570000005,5.55875,3.3644994839999995,2.923829787,2.695833333,75.53162853,75.86861314,76.81283422,168.8,42.2,18.1,0.1945435134724886,0
1.0,B,39.6414,-119.3083,Jun,2005,0,16.27596717,18.99618138,18.1425641,4.054982415,3.398329356,3.671282051,44.77842907,37.14081146,35.35384615,10.4,7.2,0.0,0.4874474548506364,1
5.2,B,31.31697802,-83.39364888,Jan,2008,12,14.87734096,16.40932642,15.643333689999999,2.000214439,1.7272020730000002,1.8637082560000002,79.89667897,73.43181818,76.66424857499999,26.0,0.0,0.0,0.1489038254041168,1
